LGID,SOURCE,LGNAME,LGTYPEID,LGSTATUSID,ABBREV_NAM,MAIL_ADDRE,ALT_ADDRES,MAIL_CITY,MAIL_STATE,MAIL_ZIP,URL,PREV_NAME
65623,Adams Assessor Office 06-25-2015,Second Creek Farm Metropolitan District No. 4,6,1,Second Creek Farm Metro. District No. 4,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,,
65558,Adams Assessor Office 06-25-2015,Settler's Crossing Metropolitan District No. 1,6,1,Settler's Crossing Metro. District #1,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,,
65559,Adams Assessor Office 06-25-2015,Settler's Crossing Metropolitan District No. 2,6,1,Settler's Crossing Metro. District #2,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,,
01046,Adams Assessor Office 06-25-2015,Second Creek Ranch Metropolitan District,6,1,Second Creek Ranch Metropolitan District,"1641 California Street, Suite 300",c/o Miller & Associates,Denver,CO,80202,,
01022,Adams Assessor Office 06-25-2015,Shaw Heights Water District,11,1,Shaw Heights Water District,9096 Hunter Street,,Westminster,CO,80031-3388,,
01074,Adams Assessor Office 06-25-2015,Aurora Single Tree Metropolitan District,6,1,Aurora Single Tree Metropolitan District,1700 Lincoln St Ste 2000,c/o Spencer Fane Britt & Browne LLP,Denver,CO,80203,,
65887,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 4,6,1,TransPort Metropolitan District No. 4,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65888,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 5,6,1,TransPort Metropolitan District No. 5,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65889,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 6,6,1,TransPort Metropolitan District No. 6,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65890,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 7,6,1,TransPort Metropolitan District No. 7,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65891,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 8,6,1,TransPort Metropolitan District No. 8,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65892,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 9,6,1,TransPort Metropolitan District No. 9,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
01063,Adams Assessor Office 06-25-2015,Todd Creek Farms Metropolitan District No. 2,6,1,Todd Creek Farms Metro. District No. 2,2154 E Commons Ave Ste 2000,White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,,
01062,Adams Assessor Office 06-25-2015,Todd Creek Village Metropolitan District,6,1,Todd Creek Village Metropolitan District,10450 E 159th Ct,,Brighton,CO,80602,toddcreekvillage.org,Todd Creek Farms Metropolitan District No. 1
65091,Adams Assessor Office 06-25-2015,Todd Creek Village Park and Recreation District,7,1,Todd Creek Village Park And Rec. Dist.,"1700 Lincoln St, Suite 2000",c/o Spencer Fane LLP,Denver,CO,80203,,
65943,Adams Assessor Office 06-25-2015,Timberleaf Metropolitan District,6,1,Timberleaf Metropolitan District,"450 East 17th Avenue, Suite 400","c/o McGeady Sisneros, P.C.",Denver,CO,80203-1214,,
65758,Adams Assessor Office 06-25-2015,Lakes Metropolitan District No. 1,6,1,Lakes Metropolitan District No. 1,"200 West Hampden Avenue, Suite 201",c/o Vintage Homes and Land LLC,Englewood,CO,80110,,
65759,Adams Assessor Office 06-25-2015,Lakes Metropolitan District No. 2,6,1,Lakes Metropolitan District No. 2,"200 West Hampden Avenue, Suite 201",c/o Vintage Homes and Land LLC,Englewood,CO,80110,,
65760,Adams Assessor Office 06-25-2015,Lakes Metropolitan District No. 3,6,1,Lakes Metropolitan District No. 3,"200 West Hampden Avenue, Suite 201","c/o Richco Investments, LLC",Englewood,CO,80110,,
65761,Adams Assessor Office 06-25-2015,Lakes Metropolitan District No. 4,6,1,Lakes Metropolitan District No. 4,"200 West Hampden Avenue, Suite 201","c/o Richco Investments, LLC",Englewood,CO,80110,,
66476,Adams Assessor Office 06-25-2015,Talon Pointe Coordinating Metropolitan District,6,1,Talon Pointe Coordinating Metro. Dist.,"2154 East Commons Avenue, Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122-1880,,
65991,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 2,6,1,Velocity Metropolitan District No. 2,"1700 Lincoln Street, Suite 2000",c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203-4538,,
65738,Adams Assessor Office 06-25-2015,Talon Pointe Metropolitan District,6,1,Talon Pointe Metropolitan District,"2154 E. Commons Avenue, Suite 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,,
65992,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 3,6,1,Velocity Metropolitan District No. 3,"1700 Lincoln Street, Suite 2000",c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203-4538,,
65993,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 4,6,1,Velocity Metropolitan District No. 4,"1700 Lincoln Street, Suite 2000",c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203-4538,,
65994,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 5,6,1,Velocity Metropolitan District No. 5,"1700 Lincoln Street, Suite 2000",c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203-4538,,
65995,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 6,6,1,Velocity Metropolitan District No. 6,"1700 Lincoln Street, Suite 2000",c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203-4538,,
65996,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 7,6,1,Velocity Metropolitan District No. 7,"1700 Lincoln Street, Suite 2000",c/o Spence Fane & Grimshaw LLP,Denver,CO,80203-4538,,
65997,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 8,6,1,Velocity Metropolitan District No. 8,"1700 Lincoln Street, Suite 2000","c/o Grimshaw & Harring, P.C.",Denver,CO,80203-4538,,
65998,Adams Assessor Office 06-25-2015,Velocity Metropolitan District No. 9,6,1,Velocity Metropolitan District No. 9,"1700 Lincoln Street, Suite 2000",c/o Spencer Fane & Grimshaw LLP,Denver,CO,80203-4538,,
66052,Adams Assessor Office 06-25-2015,Village at North Creek Metropolitan District,6,1,Village at N. Creek Metro. District,"4725 South Monaco Street, Suite 225","c/o Icenogle Seaver Pogue, P.C.",Denver,CO,80237,,
66529,Districts From Eagle Assessor 06-30-2015,Timber Springs Metropolitan District,6,1,Timber Springs Metropolitan District,"28 Second Street, Suite 213","c/o Robertson & Marchetti, P.C.",Edwards,CO,81632,,
01027,Adams Assessor Office 06-25-2015,Tower Metropolitan District,6,1,Tower Metropolitan District,1700 Lincoln St Ste 2000,,Denver,CO,80203-4538,,
65884,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 1,6,1,TransPort Metropolitan District No. 1,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
65893,Adams Assessor Office 06-25-2015,TransPort Metropolitan District No. 10,6,1,TransPort Metropolitan District No. 10,"2 North Cascade Avenue, Suite 1280",c/o A Schuck Corporation Development,Colorado Springs,CO,80903,,
