"Feature Name|""ID""|""Class""|""County""|""State""|""Latitude""|""Longitude""|""Ele(ft)""|""Map""|""BGN Date""|""Entry Date""|"
"Aristocrat Ranchettes|""1852836""|""Populated Place""|""Weld""|""CO""|""400633N""|""1044545W""|""5003""|""Fort Lupton""|""""|""21-JAN-2000"""
"Aristocrat Ranchettes Census Designated Place|""2407757""|""Census""|""Weld""|""CO""|""400635N""|""1044518W""|""5046""|""Fort Lupton""|""""|""11-MAR-2008"""
"Arlington|""204825""|""Populated Place""|""Kiowa""|""CO""|""382010N""|""1032036W""|""4222""|""Arlington""|""""|""13-OCT-1978"""
"Armel|""183111""|""Populated Place""|""Yuma""|""CO""|""394750N""|""1020630W""|""3809""|""Armel""|""""|""13-OCT-1978"""
"Arriba|""195110""|""Populated Place""|""Lincoln""|""CO""|""391710N""|""1031632W""|""5239""|""Arriba""|""""|""13-OCT-1978"""
"Arriola|""178782""|""Populated Place""|""Montezuma""|""CO""|""372633N""|""1083846W""|""6404""|""Arriola""|""""|""13-OCT-1978"""
"Arrowhead|""177435""|""Populated Place""|""Larimer""|""CO""|""403445N""|""1050128W""|""4924""|""Fort Collins""|""""|""13-OCT-1978"""
"Arrowhead Village|""2571071""|""Populated Place""|""Eagle""|""CO""|""393804N""|""1063401W""|""7359""|""Edwards""|""""|""18-SEP-2009"""
"Arrowood|""197776""|""Populated Place""|""Boulder""|""CO""|""401114N""|""1053039W""|""8251""|""Allenspark""|""""|""01-SEP-1992"""
"Ashcroft|""180289""|""Populated Place""|""Pitkin""|""CO""|""390313N""|""1064759W""|""9521""|""Hayden Peak""|""""|""13-OCT-1978"""
"Aspen|""204686""|""Populated Place""|""Pitkin""|""CO""|""391128N""|""1064903W""|""7890""|""Aspen""|""""|""13-OCT-1978"""
"Aspen Creek|""2355031""|""Populated Place""|""Broomfield""|""CO""|""395643N""|""1050317W""|""5367""|""Lafayette""|""""|""16-OCT-2007"""
"Aspen Meadows|""197905""|""Populated Place""|""Boulder""|""CO""|""395835N""|""1052448W""|""8117""|""Tungsten""|""""|""01-SEP-1992"""
"Aspen Park|""182542""|""Populated Place""|""Jefferson""|""CO""|""393221N""|""1051741W""|""8133""|""Conifer""|""""|""13-OCT-1978"""
"Aspen Park Census Designated Place|""2407775""|""Census""|""Jefferson""|""CO""|""393232N""|""1051749W""|""8094""|""Conifer""|""""|""11-MAR-2008"""
"Astor City (historical)|""198185""|""Populated Place""|""Eagle""|""CO""|""393300N""|""1062432W""|""8166""|""Minturn""|""""|""01-JUL-1994"""
"Atchee|""172111""|""Populated Place""|""Garfield""|""CO""|""393347N""|""1085446W""|""6417""|""Baxter Pass""|""""|""13-OCT-1978"""
"Atlanta|""196046""|""Populated Place""|""Baca""|""CO""|""373013N""|""1025946W""|""4718""|""Deora""|""""|""13-OCT-1978"""
"Atwood|""182793""|""Populated Place""|""Logan""|""CO""|""403252N""|""1031611W""|""3993""|""Atwood""|""""|""13-OCT-1978"""
"Atwood Census Designated Place|""2407778""|""Census""|""Logan""|""CO""|""403302N""|""1031629W""|""4003""|""Atwood""|""""|""11-MAR-2008"""
"Auburn|""180729""|""Populated Place""|""Weld""|""CO""|""402205N""|""1043812W""|""4652""|""La Salle""|""""|""13-OCT-1978"""
"Ault|""180544""|""Populated Place""|""Weld""|""CO""|""403457N""|""1044355W""|""4938""|""Eaton""|""""|""13-OCT-1978"""
"Aurora|""204737""|""Populated Place""|""Adams""|""CO""|""394346N""|""1044955W""|""5403""|""Fitzsimons""|""""|""13-OCT-1978"""
"Aurora Heights|""2354616""|""Populated Place""|""Arapahoe""|""CO""|""394411N""|""1045127W""|""5407""|""Fitzsimons""|""""|""27-SEP-2007"""
"Aurora Highlands|""2354636""|""Populated Place""|""Arapahoe""|""CO""|""394123N""|""1044647W""|""5577""|""Fitzsimons""|""""|""27-SEP-2007"""
"Aurora Hills|""2354629""|""Populated Place""|""Arapahoe""|""CO""|""394225N""|""1045050W""|""5515""|""Fitzsimons""|""""|""27-SEP-2007"""
"Aurora Knolls|""2354657""|""Populated Place""|""Arapahoe""|""CO""|""394050N""|""1044640W""|""5656""|""Fitzsimons""|""""|""27-SEP-2007"""
"Austin|""203944""|""Populated Place""|""Delta""|""CO""|""384652N""|""1075703W""|""5043""|""Orchard City""|""""|""13-OCT-1978"""
"Avalo|""171144""|""Populated Place""|""Weld""|""CO""|""404812N""|""1033901W""|""4521""|""Avalo""|""""|""13-OCT-1978"""
"Avon|""204667""|""Populated Place""|""Eagle""|""CO""|""393753N""|""1063120W""|""7431""|""Edwards""|""""|""13-OCT-1978"""
"Avondale|""204801""|""Populated Place""|""Pueblo""|""CO""|""381415N""|""1042104W""|""4557""|""Avondale""|""""|""13-OCT-1978"""
"Avondale Census Designated Place|""2407788""|""Census""|""Pueblo""|""CO""|""381406N""|""1042036W""|""4544""|""Avondale""|""""|""11-MAR-2008"""
"Axial|""171423""|""Populated Place""|""Moffat""|""CO""|""401707N""|""1074731W""|""6453""|""Axial""|""""|""13-OCT-1978"""
"Ayer|""195712""|""Populated Place""|""Otero""|""CO""|""374529N""|""1035047W""|""4583""|""Timpas""|""""|""13-OCT-1978"""
"Babcock (historical)|""203914""|""Populated Place""|""Chaffee""|""CO""|""Unknown""|""Unknown""|""""|""Unknown""|""""|""01-MAR-1995"""
"Bachelor Cabins (historical)|""203920""|""Populated Place""|""Hinsdale""|""CO""|""Unknown""|""Unknown""|""""|""Unknown""|""""|""01-MAR-1995"""
"Bachelor Gulch Village|""2571067""|""Populated Place""|""Eagle""|""CO""|""393720N""|""1063237W""|""8166""|""Grouse Mountain""|""""|""18-SEP-2009"""
"Badger House Community (historical)|""1956835""|""Populated Place""|""Montezuma""|""CO""|""371119N""|""1083204W""|""7126""|""Wetherill Mesa""|""""|""03-JUL-2002"""
"Badito|""192690""|""Populated Place""|""Huerfano""|""CO""|""374338N""|""1050051W""|""6430""|""Farisita""|""""|""13-OCT-1978"""
"Bailey|""204727""|""Populated Place""|""Park""|""CO""|""392420N""|""1052824W""|""7739""|""Bailey""|""""|""13-OCT-1978"""
"Balarat|""178281""|""Populated Place""|""Boulder""|""CO""|""400933N""|""1052347W""|""7438""|""Raymond""|""""|""13-OCT-1978"""
"Baldwin|""186670""|""Populated Place""|""Gunnison""|""CO""|""384550N""|""1070252W""|""8766""|""Mount Axtell""|""""|""13-OCT-1978"""
"Balfour|""191103""|""Populated Place""|""Park""|""CO""|""385426N""|""1054328W""|""9094""|""Guffey NW""|""""|""13-OCT-1978"""
"Balltown|""180423""|""Populated Place""|""Lake""|""CO""|""390440N""|""1061652W""|""9035""|""Granite""|""""|""13-OCT-1978"""
"Baltimore (historical)|""181031""|""Populated Place""|""Gilpin""|""CO""|""395412N""|""1053428W""|""8904""|""Nederland""|""""|""13-OCT-1978"""
"Balzac|""182874""|""Populated Place""|""Morgan""|""CO""|""402425N""|""1032817W""|""4101""|""Messex""|""""|""13-OCT-1978"""
"Barela|""194884""|""Populated Place""|""Las Animas""|""CO""|""370656N""|""1041542W""|""5761""|""Barela""|""""|""13-OCT-1978"""
